label,text,trainable_data
1,"['investing', 'more', 'money', 'on', 'research', 'and', 'development', 'to', 'make', 'energy', 'more', 'affordable', '-', 'and', 'less', 'on', 'operations', 'and', 'top', 'level', 'salaries', '.', 'if', 'we', 'can', 'put', 'men', 'and', 'women', 'on', 'the', 'moon', ',', 'this', 'should', 'be', 'a', 'piece', 'of', 'cake', '!']",invest money research development make energy affordable less operation top level salary put men woman moon piece cake
0,"['ralph', 'klein', 'was', 'a', 'bell', 'end', 'for', 'selling', 'off', 'transalta']",ralph klein bell end sell transalta
0,"['put', 'enough', 'efforts', ',', 'resources', 'and', 'commitment', 'into', 'seriously', 'climate', 'change', 'and', 'it', 'will', 'pay', 'off', '.', 'this', 'might', 'be', 'hard', 'for', 'politicians', 'to', 'act', 'short', 'and', 'long-term', 'at', 'the', 'same', 'time', '.', 'but', 'it', 'does', 'need', 'to', 'be', 'done', '.']",put enough effort resource commitment seriously climate change pay might hard politician act short time need do
1,"['there', 'are', 'so', 'many', 'good', 'ideas', 'about', 'clean', 'and', 'renewable', 'energy', ',', 'but', 'we', 'can', 'not', 'forget', 'about', 'the', 'many', 'communities', 'across', 'canada', 'dependent', 'on', 'traditional', 'energy', ',', 'economically', 'and', 'socially', '.', 'a', 'transition', 'away', 'from', 'fossil', 'fuels', 'in', 'canada', 'needs', 'to', 'happen', ',', 'but', 'it', 'can', 'not', 'be', 'overnight', '.', 'i', 'would', 'be', 'interested', 'to', 'hear', 'ideas', 'for', 'transitioning', 'local', 'labour', 'markets', 'in', 'a', 'sustainable', 'way', 'so', 'that', 'working', 'families', 'can', 'continue', 'to', 'support', 'themselves', 'in', 'this', 'transition', '.']",many good idea clean renewable energy forget many community across canada dependent traditional energy economically socially transition away fossil fuel canada need happen overnight would interested hear idea transition local labour market sustainable way work family continue support transition
0,"['i', 'agree', '.', 'i', 'live', 'in', 'a', 'small', 'town', 'about', '70km', 'outside', 'of', 'ottawa', 'and', 'have', 'limited', 'options', 'for', 'energy', 'use', '.', 'currently', 'on', 'electricity', 'only', ',', 'which', 'costs', 'almost', 'as', 'much', 'as', 'my', 'mortgage', '.', 'it', ""'s"", 'crazy', '!', 'i', 'would', 'also', 'be', 'interested', 'in', 'hearing', 'ideas', 'about', 'how', 'i', 'can', 'help', 'transition', 'my', 'family', 'to', 'more', 'efficient', 'and', 'sustainable', '(', 'and', 'affordable', '!', ')', 'energy', 'usage', '.']",agree live small town outside ottawa limit option energy use currently electricity cost almost much mortgage crazy would also interested hear idea help transition family efficient sustainable affordable energy usage
0,"['agreed', 'as', 'well', '!', 'while', 'i', 'live', 'in', 'ottawa', 'now', ',', 'i', 'grew', 'up', 'in', 'a', 'smaller', 'community', ',', 'and', 'can', 'empathize', 'that', 'not', 'everyone', 'desires', 'living', 'in', 'a', 'large', 'city', '.', 'the', 'current', 'structure', 'of', 'electricity', 'delivery', 'charges', 'penalizes', 'those', 'who', 'live', 'in', 'smaller', ',', 'rural', 'communities', '.', 'it', ""'d"", 'be', 'great', 'to', 'see', 'some', 'reform', 'on', 'this', '!', 'the', 'idea', 'of', 'microgrids', 'has', 'been', 'floated', 'around', 'a', 'lot', 'recently', ',', 'but', 'there', ""'s"", 'a', 'need', 'to', 'analyze', 'all', 'the', 'diverse', 'data', 'out', 'there', ',', 'and', 'make', 'a', 'solid', 'business', 'case', 'for', 'these', 'systems', 'and', 'how', 'they', 'may', 'work', 'in', 'specific', 'small', 'communities', 'in', 'canada', '(', 'while', 'looking', 'at', 'enviro', ',', 'economic', 'and', 'social', 'factors', ')', '.']",agree well live ottawa grow small community empathize everyone desire live large city current structure electricity delivery charge penalize live small rural community great see reform idea microgrids float around lot recently need analyze diverse data make solid business case system may work specific small community canada look enviro economic social factor
0,"['energy', 'transition', '``', 'ca', ""n't"", 'not', 'happen', 'overnight', ""''"", ':', 'is', 'does', 'sound', 'like', 'an', 'excuse', 'for', 'not', 'really', 'acting', 'to', 'address', 'climate', 'change', '.', 'show', 'the', 'canadian', 'leadership', 'and', 'act', 'now', '!']",energy transition ca happen overnight sound like excuse really act address climate change show canadian leadership act
0,"['local', 'energy', 'sources', 'like', 'biomass', '(', 'firewood', ',', 'wood', 'pellets', ',', 'wood', 'chips', 'etc', '.', ')', 'will', 'support', 'the', 'local', 'economy', 'by', 'creating', 'jobs', 'and', 'reduce', 'our', 'reliance', 'on', 'sources', 'outside', 'our', 'respective', 'provinces', '.']",local energy source like biomass firewood wood pellet wood chip etc support local economy create job reduce reliance source outside respective province
0,"['anyone', 'living', 'in', 'rural', 'canada', 'should', 'be', 'researching', 'geothermal', 'applications', '.', 'there', 'is', 'a', 'higher', 'capital', 'cost', '(', '20-30k', ')', 'but', 'the', 'operating', 'costs', 'are', 'dramatically', 'lower', 'than', 'electric', 'baseboard', 'or', 'fossil', 'fuels', '.', 'plus', ',', 'geothermal', 'systems', 'provide', 'air', 'conditioning', '-', 'year', 'round', 'climate', 'control', '.', 'the', 'government', 'has', 'talked', 'about', 'bringing', 'back', 'the', 'geothermal', 'grant', 'and', 'if', 'they', 'do', ',', 'i', 'hope', 'it', 'gets', 'a', 'lot', 'of', 'publicity', '.']",anyone living rural canada research geothermal application high capital cost operating cost dramatically low electric baseboard fossil fuel plus geothermal system provide air condition year round climate control government talk bring back geothermal grant hope get lot publicity
0,"['in', 'theory', 'tele-working', '-including', 'telerobotics', ',', 'streaming', 'micro-gestures', 'and', 'other', 'enhancements', 'on', 'telepresence-', 'can', 'cut', 'emissions', 'from', 'physical', 'commuting', ',', 'including', 'from', 'small', 'remote', 'communities', '.', 'that', 'assumes', 'the', 'remote', 'community', 'has', 'sufficient', 'telecommunications', 'bandwidth', '.', 'so', 'if', 'upgrading', 'power', ',', 'might', 'want', 'to', 'upgrade', 'telecommunications', 'cabling', 'too', '.']",theory telerobotics stream enhancement cut emission physical commuting include small remote community assume remote community sufficient telecommunication bandwidth upgrading power might want upgrade telecommunication cable
1,"['in', 'urban', 'areas', 'can', 'there', 'not', 'be', 'a', 'minimum', 'annual', 'monetary', 'investment', '(', 'based', 'on', 'population', ')', 'in', 'infrastructure', 'that', 'will', 'support/contribute', 'to', 'energy', 'efficiency', '?', 'think', 'commitment', 'to', 'bicycling', ',', 'solar', ',', 'etc', '.', 'would', 'need', 'to', 'be', 'done', 'in', 'a', 'business', 'case', 'style', 'manner', 'such', 'that', 'there', 'is', 'a', 'clear', 'return', '(', 'including', 'energy', 'return', 'of', 'course', ')', 'on', 'the', 'investments', 'made', '.']",urban area minimum annual monetary investment base population infrastructure energy efficiency think commitment bicycling solar etc would need do business case style manner clear return include energy return course investment make
0,"['thanks', 'for', 'your', 'idea', '!', 'could', 'you', 'expand', 'a', 'little', 'bit', 'more', 'on', 'how', 'you', 'think', 'this', 'investment', 'should', 'work', 'and', 'how', 'it', 'would', 'support', 'community', 'energy', 'efficiency', '?']",thanks idea could expand little bit think investment work would support community energy efficiency
